Frame,Angle
0,"{'Flexão_CotoveloD': 174.00872214035988, 'Flexão_CotoveloE': 179.56122779392203, 'Abdução_OmbroE': 179.07501100168977, 'Abdução_OmbroD': 175.63912398548973, 'Flexão_OmbroE': 140.10949235185615, 'Flexão_OmbroD': 112.56101737531006}"
2,"{'Flexão_CotoveloD': 175.02917069912823, 'Flexão_CotoveloE': 177.47708564978308, 'Abdução_OmbroE': 178.3768999335438, 'Abdução_OmbroD': 176.60419878710337, 'Flexão_OmbroE': 140.0305027038499, 'Flexão_OmbroD': 111.04711953977336}"
4,"{'Flexão_CotoveloD': 173.47680480588886, 'Flexão_CotoveloE': 177.21250128663638, 'Abdução_OmbroE': 177.27620333302946, 'Abdução_OmbroD': 174.84475781958952, 'Flexão_OmbroE': 135.41129033345277, 'Flexão_OmbroD': 116.61124067745698}"
6,"{'Flexão_CotoveloD': 176.31019695547303, 'Flexão_CotoveloE': 178.53772414245182, 'Abdução_OmbroE': 178.61866586023692, 'Abdução_OmbroD': 179.00720928481948, 'Flexão_OmbroE': 134.10909188834518, 'Flexão_OmbroD': 124.73671427428653}"
8,"{'Flexão_CotoveloD': 174.93851698044563, 'Flexão_CotoveloE': 177.8823021058436, 'Abdução_OmbroE': 178.86085211734073, 'Abdução_OmbroD': 175.52754722107562, 'Flexão_OmbroE': 136.24067726595658, 'Flexão_OmbroD': 122.75860526729099}"
10,"{'Flexão_CotoveloD': 176.89082163283126, 'Flexão_CotoveloE': 176.59313977501537, 'Abdução_OmbroE': 177.14979911984352, 'Abdução_OmbroD': 177.84759419894385, 'Flexão_OmbroE': 138.8058529671704, 'Flexão_OmbroD': 120.10061134929242}"
12,"{'Flexão_CotoveloD': 177.52032671138585, 'Flexão_CotoveloE': 175.9591634716718, 'Abdução_OmbroE': 177.6224580899235, 'Abdução_OmbroD': 175.93055362782164, 'Flexão_OmbroE': 139.3306533668112, 'Flexão_OmbroD': 119.05221491289825}"
14,"{'Flexão_CotoveloD': 176.85549478947013, 'Flexão_CotoveloE': 176.304342883649, 'Abdução_OmbroE': 177.79249236539178, 'Abdução_OmbroD': 177.39530208717034, 'Flexão_OmbroE': 138.8543515330314, 'Flexão_OmbroD': 120.07386072260002}"
16,"{'Flexão_CotoveloD': 176.9857967101475, 'Flexão_CotoveloE': 174.07368133934378, 'Abdução_OmbroE': 176.29347859253318, 'Abdução_OmbroD': 175.1728133501147, 'Flexão_OmbroE': 138.35164903158648, 'Flexão_OmbroD': 118.34004021376504}"
18,"{'Flexão_CotoveloD': 176.45378966116976, 'Flexão_CotoveloE': 174.51568706147785, 'Abdução_OmbroE': 176.55809089494628, 'Abdução_OmbroD': 174.7306651193377, 'Flexão_OmbroE': 136.9845132843008, 'Flexão_OmbroD': 122.19200778461034}"
20,"{'Flexão_CotoveloD': 177.08694640388586, 'Flexão_CotoveloE': 175.6429923343602, 'Abdução_OmbroE': 177.36497972711416, 'Abdução_OmbroD': 175.2993180756352, 'Flexão_OmbroE': 137.36223000594893, 'Flexão_OmbroD': 119.99532336819928}"
22,"{'Flexão_CotoveloD': 176.79591624520302, 'Flexão_CotoveloE': 177.3943811869077, 'Abdução_OmbroE': 176.8808220609055, 'Abdução_OmbroD': 177.97454306457396, 'Flexão_OmbroE': 137.63371621207912, 'Flexão_OmbroD': 122.54944725035834}"
24,"{'Flexão_CotoveloD': 174.77723206117892, 'Flexão_CotoveloE': 177.63853004964574, 'Abdução_OmbroE': 178.08987939016757, 'Abdução_OmbroD': 174.43246638042868, 'Flexão_OmbroE': 131.6377192553335, 'Flexão_OmbroD': 123.80914734722683}"
